Betreiber,Straße,Hausnummer,Postleitzahl,Ort,Bundesland,Breitengrad,Längengrad,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Steckertypen2,P2 [kW],Steckertypen3,P3 [kW],Steckertypen4,P4 [kW]
Stadtwerke Heide GmbH,Postelweg,1,25746,Heide,Schleswig-Holstein,54.19361111,9.091944444,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Postelweg,1,25746,Heide,Schleswig-Holstein,54.193042,9.092068,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,Fritz-Thiedemann-Ring,39,25746,Heide,Schleswig-Holstein,54.17631,9.09231,150.0,Schnellladeeinrichtung,2,DC Kupplung Combo,75,DC Kupplung Combo,75.0,,,,
Allego GmbH,Fritz-Thiedemann- Ring,40,25746,Heide,Schleswig-Holstein,54.17727,9.092317,93.0,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",50,AC Kupplung Typ 2,43.0,,,,
B+W Fahrzeugtechnik GmbH&Co.KG,Meldorfer Str.,217,25746,Heide,Schleswig-Holstein,54.178195,9.092429,39.6,Normalladeeinrichtung,2,DC Kupplung Combo,22,AC Steckdose Typ 2,11.0,,,,
Stadtwerke Heide GmbH,Fritz-Thiedemann-Ring,39,25746,Heide,Schleswig-Holstein,54.175921,9.092673,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Markt,24-26,25746,Heide,Schleswig-Holstein,54.193436,9.093271,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Stadtwerke Heide GmbH,Markt,24-26,25746,Heide,Schleswig-Holstein,54.193436,9.093271,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Stadtwerke Heide GmbH,Markt,73,25746,Heide,Schleswig-Holstein,54.195635,9.0940303,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Markt,42,25746,Heide,Schleswig-Holstein,54.19529,9.094493,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Comfort Charge,Am Kleinbahnhof,26-30,25746,Heide,Schleswig-Holstein,54.19892,9.10044,150.0,Schnellladeeinrichtung,4,DC Kupplung Combo,150,DC Kupplung Combo,50.0,AC Steckdose Typ 2,22.0,AC Kupplung Typ 2,22.0
Stadtwerke Heide GmbH,Rüsdorfer Straße,1,25746,Heide,Schleswig-Holstein,54.19555556,9.100555556,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Hinrich-Schmidt-Straße,16,25746,Heide,Schleswig-Holstein,54.188535,9.104559,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11.0,,,,
Stadtwerke Heide GmbH,Hinrich-Schmidt-Straße,16,25746,Heide,Schleswig-Holstein,54.188555,9.104648,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11.0,,,,
Stadtwerke Heide GmbH,Stettiner Straße,30,25746,Heide,Schleswig-Holstein,54.19361111,9.109166667,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Landvoigt-Johannsen-Straße,61,25746,Heide,Schleswig-Holstein,54.201802,9.11461,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Professorin-Von-Wrangell-Straße,0,25746,Heide,Schleswig-Holstein,54.194933,9.117676,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Fritz-Thiedemann-Ring,20,25746,Heide,Schleswig-Holstein,54.195946,9.121534,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Fritz-Thiedemann-Ring,20,25746,Heide,Schleswig-Holstein,54.195946,9.121534,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Teichkoppel,12,25746,Heide,Schleswig-Holstein,54.197534,9.122208,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Lise-Meitner-Str,1-3,25746,Heide,Schleswig-Holstein,54.1943246,9.1227282,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
May & Olde GmbH,Süderdamm,2,25746,Heide,Schleswig-Holstein,54.198344,9.125458,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Emil Frey Küstengarage GmbH,Süderdamm,1-3,25746,Heide,Schleswig-Holstein,54.198865,9.125854,39.6,Normalladeeinrichtung,2,DC Kupplung Combo,22,AC Steckdose Typ 2,11.0,,,,
EWE Go GmbH,Süderdamm,4,25746,Heide,Schleswig-Holstein,54.19853717,9.126191213,125.0,Schnellladeeinrichtung,2,DC Kupplung Combo,125,DC Kupplung Combo,125.0,,,,
HanseWerk Charging Station,Nordseestraße,55,25761,Büsum,Schleswig-Holstein,54.13294,8.84331,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
HanseWerk Charging Station,Neuenkoog,1,25761,Büsum,Schleswig-Holstein,54.141433,8.843466,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Neuenkoog,1,25761,Büsum,Schleswig-Holstein,54.14137,8.84373,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Nordseestr.,0,25761,Büsum,Schleswig-Holstein,54.133918,8.845005,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Hohenzollerstraße,15,25761,Büsum,Schleswig-Holstein,54.129217,8.855977,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
HanseWerk Charging Station,Hohenzollerstraße,15,25761,Büsum,Schleswig-Holstein,54.129077,8.856024,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Westerstraße,30,25761,Büsum,Schleswig-Holstein,54.131845,8.85609,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
E.ON Drive GmbH,Westerstraße,30,25761,Büsum,Schleswig-Holstein,54.131897,8.856138,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
