Betreiber,Straße,Hausnummer,Postleitzahl,Ort,Bundesland,Breitengrad,Längengrad,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Steckertypen2,P2 [kW],Steckertypen3,P3 [kW],Steckertypen4,P4 [kW]
Stadtwerke Nordfriesland GmbH,Hauptstraße,30,25899,Niebüll,Schleswig-Holstein,54.78819,8.826409,50.0,Schnellladeeinrichtung,3,"AC Steckdose Typ 2, AC Kupplung Typ 2",42,"DC Kupplung Combo, DC CHAdeMO",50.0,DC Kupplung Combo,50.0,,
Stadtwerke Nordfriesland GmbH,Gather Landstraße,8,25899,Niebüll,Schleswig-Holstein,54.790836,8.82968,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Nordfriesland GmbH,Bahnhofstraße,28,25899,Niebüll,Schleswig-Holstein,54.78395916,8.831468266,75.0,Schnellladeeinrichtung,2,AC Kupplung Typ 2,22,DC Kupplung Combo,55.0,,,,
Raudzus & Bossen GmbH & Co. KG,Ostring,1,25899,Niebüll,Schleswig-Holstein,54.782287,8.847551,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Nordfriesland GmbH,Ostring,5,25899,Niebüll,Schleswig-Holstein,54.782224,8.848749,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,Ostring,2A,25899,Niebüll,Schleswig-Holstein,54.78273,8.85175,600.0,Schnellladeeinrichtung,4,DC Kupplung Combo,150,DC Kupplung Combo,150.0,DC Kupplung Combo,150.0,DC Kupplung Combo,150.0
CutPower Ladestation,Ostring,55,25899,Niebüll,Schleswig-Holstein,54.78221034,8.852155367,150.0,Schnellladeeinrichtung,2,DC Kupplung Combo,150,"DC Kupplung Combo, DC CHAdeMO",150.0,,,,
Stadtwerke Nordfriesland GmbH,Hauptstraße,14,25899,Bosbüll,Schleswig-Holstein,54.822384,8.860739,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Stadtwerke Nordfriesland GmbH,Hauptstraße,14,25899,Bosbüll,Schleswig-Holstein,54.822384,8.860739,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Stadtwerke Nordfriesland GmbH,Süderallee,1,25917,Tinningstedt,Schleswig-Holstein,54.81121,8.93223,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Nordfriesland GmbH,Karrharder Straße,10,25917,Leck,Schleswig-Holstein,54.775031,8.958752,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Nordfriesland GmbH,Enger Straße,13,25917,Enge-Sande,Schleswig-Holstein,54.730865,8.969469,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,11.0,,,,
Stadtwerke Nordfriesland GmbH,Enger Straße,13,25917,Enge-Sande,Schleswig-Holstein,54.730865,8.969469,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,11.0,,,,
Stadtwerke Nordfriesland GmbH,Toftstraße,2,25917,Leck,Schleswig-Holstein,54.772253,8.970344,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Nordfriesland GmbH,Marktstraße,7,25917,Leck,Schleswig-Holstein,54.773883,8.971592,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Nordfriesland GmbH,Flensburger Str.,2,25917,Leck,Schleswig-Holstein,54.7703,8.976793,75.0,Schnellladeeinrichtung,2,AC Steckdose Typ 2,22,DC Kupplung Combo,50.0,,,,
Stadtwerke Nordfriesland GmbH,Am Stadion,3,25917,Leck,Schleswig-Holstein,54.768043,8.980437,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
famila,Industriestraße,13,25917,Leck,Schleswig-Holstein,54.777605,8.980908,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Nordfriesland GmbH,Am Süderholz,13,25917,Leck,Schleswig-Holstein,54.768816,8.980947,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Nordfriesland GmbH,Gutenbergring,1,25917,Leck,Schleswig-Holstein,54.77239,8.984895,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Nordfriesland GmbH,Ruhwinkel,2,25917,Leck,Schleswig-Holstein,54.773641,8.991327,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,Hof Berg,3,25917,Stadum,Schleswig-Holstein,54.749708,9.027757,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Maytoft,1,25917,Sprakebüll,Schleswig-Holstein,54.774876,9.076609,93.0,Schnellladeeinrichtung,2,AC Kupplung Typ 2,43,"DC Kupplung Combo, DC CHAdeMO",50.0,,,,
Stadtwerke Nordfriesland GmbH,Herrenkoogstraße,4,25920,Risum-Lindholm,Schleswig-Holstein,54.745944,8.843188,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
EWE Go GmbH,An der B,5,25920,Risum-Lindholm,Schleswig-Holstein,54.75995903,8.877902627,196.0,Schnellladeeinrichtung,2,DC Kupplung Combo,150,DC Kupplung Combo,150.0,,,,
Stadtwerke Nordfriesland GmbH,Dorfstraße,256,25920,Risum-Lindholm,Schleswig-Holstein,54.766256,8.879548,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Nordfriesland GmbH,Am Süderholz,13,25920,Leck,Schleswig-Holstein,54.768816,8.980947,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,Grellsbüllerstr.,4,25923,Humptrup,Schleswig-Holstein,54.86667,8.86667,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
EnBW mobility+ AG und Co.KG,Hauptstraße,21-25,25923,Süderlügum,Schleswig-Holstein,54.875559,8.907764,150.0,Schnellladeeinrichtung,2,DC Kupplung Combo,150,DC Kupplung Combo,150.0,,,,
EWE Go GmbH,Hauptstraße,41,25923,Süderlügum,Schleswig-Holstein,54.88318616,8.908206224,156.0,Schnellladeeinrichtung,2,DC Kupplung Combo,156,DC Kupplung Combo,156.0,,,,
Lidl,Hauptstr.,38,25923,Süderlügum,Schleswig-Holstein,54.874793,8.910058,93.0,Schnellladeeinrichtung,3,"AC Steckdose Typ 2, AC Kupplung Typ 2",50,"AC Kupplung Typ 2, DC Kupplung Combo",50.0,"AC Kupplung Typ 2, DC CHAdeMO",44.0,,
GP JOULE Connect GmbH,Wellumweg,32a,25924,Friedrich-Wilhelm-Lübke-Koog,Schleswig-Holstein,54.8631,8.62696,75.0,Schnellladeeinrichtung,2,DC Kupplung Combo,75,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,Wellumweg,32a,25924,Friedrich-Wilhelm-Luebke-Koog,Schleswig-Holstein,54.86313747,8.627025279,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Nordfriesland GmbH,Bahnhofstraße,3,25924,Klanxbüll,Schleswig-Holstein,54.863565,8.675318,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,11.0,,,,
Stadtwerke Nordfriesland GmbH,Toft,1,25924,Klanxbüll,Schleswig-Holstein,54.862459,8.679261,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
SPR Energie GmbH,Neudorf,1,25924,Rodenäs,Schleswig-Holstein,54.88277,8.68288,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Stadtwerke Nordfriesland GmbH,Dorfstraße,2,25926,Westre,Schleswig-Holstein,54.855586,8.987336,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Nordfriesland GmbH,Dorfstraße,38,25926,Ladelund,Schleswig-Holstein,54.841034,9.022628,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Strom von Föhr Vertriebs-GmbH,Klaf,0,25938,Utersum,Schleswig-Holstein,54.71327,8.3985,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
ecar Northtec,Bütjthaarepswai,122a,25938,Oldsum,Schleswig-Holstein,54.733066,8.450833,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
ecar Northtec,Heidweg,6,25938,Nieblum,Schleswig-Holstein,54.69031232,8.487137383,55.0,Normalladeeinrichtung,4,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,AC Steckdose Typ 2,22.0,AC Steckdose Typ 2,22.0
ecar Northtec,Kertelhein-Allee,6,25938,Nieblum,Schleswig-Holstein,54.69232249,8.48796392,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,Alkersumer Stieg,4,25938,Nieblum auf Föhr,Schleswig-Holstein,54.692659,8.492067,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Strom von Föhr Vertriebs-GmbH,Wohlackerum,1,25938,Oevenum,Schleswig-Holstein,54.709,8.53301,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
ecar Northtec,Ohl-Dörp,15,25938,Wrixum,Schleswig-Holstein,54.70402,8.54392,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
ecar Northtec,Hardesweg,8,25938,Wrixum,Schleswig-Holstein,54.69952,8.54758,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Allego GmbH,Koogskuhl,2,25938,Wyk auf Föhr,Schleswig-Holstein,54.6928,8.569154,150.0,Schnellladeeinrichtung,2,DC Kupplung Combo,150,DC Kupplung Combo,150.0,,,,
Strom von Föhr Vertriebs-GmbH,Halemwai,1-11,25946,Norddorf,Schleswig-Holstein,54.67828,8.33054,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Strom von Föhr Vertriebs-GmbH,Postwai,3,25946,Nebel,Schleswig-Holstein,54.65186,8.35229,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Strom von Föhr Vertriebs-GmbH,Waasterstigh,36c,25946,Nebel,Schleswig-Holstein,54.69213,8.35377,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Energieversorgung Sylt GmbH,Hörnumer Straße,80,25980,Sylt OT Rantum,Schleswig-Holstein,54.814639,8.289611,44.0,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22.0,,,,
Energieversorgung Sylt GmbH,Andreas-Dirks-Straße,0,25980,Sylt OT Westerland,Schleswig-Holstein,54.909167,8.300766,44.0,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22.0,,,,
Energieversorgung Sylt GmbH,Elisabethstraße,0,25980,Sylt OT Westerland,Schleswig-Holstein,54.907495,8.300954,44.0,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22.0,,,,
Energieversorgung Sylt GmbH,Hebbelweg,2,25980,Sylt OT Westerland,Schleswig-Holstein,54.909941,8.306651,44.0,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22.0,,,,
Energieversorgung Sylt GmbH,Andreas-Nielsen-Straße,3,25980,Sylt OT Westerland,Schleswig-Holstein,54.909449,8.310102,225.0,Schnellladeeinrichtung,2,DC Kupplung Combo,150,DC Kupplung Combo,150.0,,,,
Shell Deutschland GmbH,Trifft,7,25980,Sylt,Schleswig-Holstein,54.90469994,8.310692952,520.0,Schnellladeeinrichtung,2,DC Kupplung Combo,260,DC Kupplung Combo,260.0,,,,
Energieversorgung Sylt GmbH,Kirchenweg,2,25980,Sylt OT Westerland,Schleswig-Holstein,54.90753,8.31106,44.0,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22.0,,,,
Energieversorgung Sylt GmbH,Bahnweg,4,25980,Sylt OT Westerland,Schleswig-Holstein,54.91465,8.31207,44.0,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22.0,,,,
CutPower Ladestation,Kiarwai,1,25980,Sylt,Schleswig-Holstein,54.90243806,8.328283026,150.0,Schnellladeeinrichtung,2,DC Kupplung Combo,150,"DC Kupplung Combo, DC CHAdeMO",150.0,,,,
Lidl,Kiarwai,18-24,25980,Tinnum/Sylt Ost,Schleswig-Holstein,54.901555,8.329709,50.0,Schnellladeeinrichtung,3,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,"AC Kupplung Typ 2, DC Kupplung Combo",50.0,"AC Kupplung Typ 2, DC CHAdeMO",50.0,,
GP JOULE Connect GmbH,Zum Fliegerhorst,3-9,25980,Sylt,Schleswig-Holstein,54.904049,8.330031,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
"AVG Rosier GmbH, ZNL Sylt",Mittelweg,3,25980,Sylt OT Tinnum,Schleswig-Holstein,54.900518,8.338233,39.65,Normalladeeinrichtung,2,DC Kupplung Combo,22,AC Steckdose Typ 2,11.0,,,,
GP JOULE Connect GmbH,Melnstich,7,25980,Sylt,Schleswig-Holstein,54.8651718,8.420455816,88.0,Normalladeeinrichtung,4,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,AC Steckdose Typ 2,22.0,AC Steckdose Typ 2,22.0
Energieversorgung Sylt GmbH,Hafenstraße,37,25992,List,Schleswig-Holstein,55.0196,8.43851,44.0,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22.0,,,,
Energieversorgung Sylt GmbH,Dünenstraße,14,25996,Wenningstedt,Schleswig-Holstein,54.936972,8.317111,44.0,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22.0,,,,
Energieversorgung Sylt GmbH,Am Wasser,0,25997,Hörnum,Schleswig-Holstein,54.755361,8.293333,44.0,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22.0,,,,
Markus Wenzel e.K.,Süderweg,1A,25999,Kampen,Schleswig-Holstein,54.951278,8.340639,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,"DC Kupplung Combo, DC CHAdeMO",20.0,,,,
Energieversorgung Sylt GmbH,Hauptstraße,15,25999,Kampen,Schleswig-Holstein,54.95603,8.34172,44.0,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22.0,,,,
EWE Go GmbH,Parkstraße,33,27798,Hude,Schleswig-Holstein,53.11192139,8.45828712,50.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
EWE Go GmbH,Schützenplatz,0,27798,Hude,Schleswig-Holstein,53.1079433,8.4599887,50.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Autohaus Bartels GmbH,Auf d. Nordheide,19,27798,Hude,Schleswig-Holstein,53.10997,8.465088,13.2,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,
Autohaus Bartels GmbH,Auf d. Nordheide,19,27798,Hude,Schleswig-Holstein,53.109896,8.465104,13.2,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.92276,10.664542,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.922761,10.664577,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.922755,10.664637,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.922755,10.664672,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.922918,10.664767,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.922896,10.664789,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.922876,10.664814,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.922855,10.664834,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.923421,10.665214,225.0,Schnellladeeinrichtung,2,DC Kupplung Combo,225,DC Kupplung Combo,225.0,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.923398,10.665292,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.923407,10.665322,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.923405,10.665377,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.923415,10.665407,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.923418,10.665444,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.923423,10.665466,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.92343,10.66551,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.92343,10.66553,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.923449,10.665606,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.923449,10.665606,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.92346,10.665679,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.92346,10.665679,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.923474,10.665752,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.923474,10.665752,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.92348,10.665826,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Loog,7,23611,Bad Schwartau,Schleswig-Holstein,53.92348,10.665826,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Voltus GmbH 01,Haydnring,72,23611,Bad Schwartau,Schleswig-Holstein,53.926061,10.685174,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Voltus GmbH 01,Haydnring,72,23611,Bad Schwartau,Schleswig-Holstein,53.925981,10.685318,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Zentralparkplatz,1,23611,Bad Schwartau,Schleswig-Holstein,53.918375,10.69574,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Zentralparkplatz,1,23611,Bad Schwartau,Schleswig-Holstein,53.91838,10.69574,93.0,Schnellladeeinrichtung,2,AC Kupplung Typ 2,43,"DC Kupplung Combo, DC CHAdeMO",50.0,,,,
E.ON Drive GmbH,Rensefelder Straße,2,23611,Bad Schwartau,Schleswig-Holstein,53.919966,10.695921,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
E.ON Drive GmbH,Zentralparkplatz,1,23611,Bad Schwartau,Schleswig-Holstein,53.91776,10.69634,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Auguststr.,2,23611,Bad Schwartau,Schleswig-Holstein,53.9182,10.69787,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Allego GmbH,Sereetzer Feld,1,23611,Sereetz,Schleswig-Holstein,53.926944,10.722568,93.0,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",50,AC Kupplung Typ 2,43.0,,,,
E.ON Drive GmbH,Berliner Straße,53,23611,Sereetz,Schleswig-Holstein,53.923278,10.736825,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
HanseWerk Charging Station,Berliner Straße,76,23611,Sereetz,Schleswig-Holstein,53.923278,10.736825,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Comfort Charge,Segeberger Str.,25,23617,Stockelsdorf,Schleswig-Holstein,53.88635,10.6483,200.0,Schnellladeeinrichtung,2,DC Kupplung Combo,200,DC Kupplung Combo,200.0,,,,
Autohaus Ahrensbök GmbH,Segeberger Chaussee,2A,23623,Ahrensbök,Schleswig-Holstein,54.015923,10.570551,39.6,Normalladeeinrichtung,2,DC Kupplung Combo,22,AC Steckdose Typ 2,11.0,,,,
Stadtwerke Eutin GmbH,Poststraße,0,23623,Ahrensbök,Schleswig-Holstein,54.012848,10.572616,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Bäderstraße,19,23626,Ratekau,Schleswig-Holstein,53.94751,10.73615,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
HanseWerk Charging Station,Bäderstraße,19,23626,Ratekau,Schleswig-Holstein,53.947516,10.736153,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Westenergie Metering GmbH,Dorfstraße,8z,23629,Scharbeutz,Schleswig-Holstein,54.028997,10.663189,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,
Westenergie Metering GmbH,An der Aalbeek,900,23669,Timmendorfer Strand,Schleswig-Holstein,53.99017,8.12683,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Westenergie Metering GmbH,Dorfstr.,30,23669,Timmendorfer Strand,Schleswig-Holstein,53.9881,10.748,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Westenergie Metering GmbH,Dorfstr.,30 Z,23669,Timmendorfer Strand,Schleswig-Holstein,53.98807,10.74803,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
auto schneider gmbh,Vogelsang,6-8,23669,Timmendorfer Strand,Schleswig-Holstein,53.987256,10.769858,13.2,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,
Westenergie Metering GmbH,Seestraße,3,23669,Timmendorfer Strand,Schleswig-Holstein,53.974836,10.772399,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,
Westenergie Metering GmbH,Wohldstr.,24,23669,Timmendorfer Strand,Schleswig-Holstein,54.0001,10.773,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Westenergie Metering GmbH,Wohldstr.,24,23669,Timmendorfer Strand,Schleswig-Holstein,54.0001,10.773,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,
Westenergie Metering GmbH,Strandallee,42,23669,Timmendorfer Strand,Schleswig-Holstein,54.00443,10.774519,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Westenergie Metering GmbH,Strandallee,42 Z,23669,Timmendorfer Strand,Schleswig-Holstein,54.0045,10.775,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Westenergie Metering GmbH,Strandallee,84,23669,Timmendorfer Strand,Schleswig-Holstein,53.998729,10.779577,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Westenergie Metering GmbH,Höppnerweg,10,23669,Timmendorfer Strand,Schleswig-Holstein,53.994444,10.780556,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Westenergie Metering GmbH,Poststraße,14 Z,23669,Timmendorfer Strand,Schleswig-Holstein,53.9973,10.781,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Westenergie Metering GmbH,Poststraße,14,23669,Timmendorfer Strand,Schleswig-Holstein,53.9974,10.781,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Westenergie Metering GmbH,Poststr.,14,23669,Timmendorfer Strand,Schleswig-Holstein,53.9974,10.7811,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
