Segment,Modell,Elektro
SPORTWAGEN,ASTON MARTIN DB11,-
SPORTWAGEN,ASTON MARTIN V8,-
SPORTWAGEN,AUDI R8,3
SPORTWAGEN,AUDI TT,-
SPORTWAGEN,BMW Z4,-
SPORTWAGEN,FERRARI 296 GTB,-
SPORTWAGEN,FERRARI 488,-
SPORTWAGEN,FERRARI F8,-
SPORTWAGEN,FERRARI PORTOFINO,-
SPORTWAGEN,FERRARI ROMA,-
SPORTWAGEN,FERRARI SF90,-
SPORTWAGEN,FORD MUSTANG,-
SPORTWAGEN,JAGUAR F-TYPE,-
SPORTWAGEN,LEXUS LC,-
SPORTWAGEN,LOTUS EMIRA,-
SPORTWAGEN,MASERATI GRANTURISMO,-
SPORTWAGEN,MERCEDES AMG GT,-
SPORTWAGEN,MERCEDES E-KLASSE COUPE,1
SPORTWAGEN,MERCEDES SL,-
SPORTWAGEN,MERCEDES SLS AMG,-
SPORTWAGEN,MORGAN 4/4,-
SPORTWAGEN,NISSAN GT-R,-
SPORTWAGEN,PORSCHE 911,-
SPORTWAGEN,PORSCHE BOXSTER,-
SPORTWAGEN,PORSCHE CAYMAN,-
SPORTWAGEN,TOYOTA GR 86,-
SPORTWAGEN,TOYOTA SUPRA,-
SPORTWAGEN,SONSTIGE,-
SPORTWAGEN ZUSAMMEN,,4
MINI-VANS,DACIA LODGY,-
MINI-VANS,KIA SOUL,1223
MINI-VANS,MERCEDES B-KLASSE,-
MINI-VANS,PEUGEOT 3008,-
MINI-VANS,RENAULT SCENIC,-
MINI-VANS,SONSTIGE,-
MINI-VANS ZUSAMMEN,,1223
GROSSRAUM-VANS,DACIA JOGGER,-
GROSSRAUM-VANS,FIAT ULYSSE,216
GROSSRAUM-VANS,FORD GALAXY,-
GROSSRAUM-VANS,FORD S-MAX,-
GROSSRAUM-VANS,MERCEDES V-KLASSE,1391
GROSSRAUM-VANS,PEUGEOT 5008,-
GROSSRAUM-VANS,RENAULT ESPACE,-
GROSSRAUM-VANS,SEAT ALHAMBRA,-
GROSSRAUM-VANS,VW SHARAN,-
GROSSRAUM-VANS,VW TOURAN,-
GROSSRAUM-VANS ZUSAMMEN,,1607
UTILITIES,CITROEN BERLINGO,799
UTILITIES,CITROEN JUMPER,-
UTILITIES,CITROEN JUMPY,100
UTILITIES,FIAT DOBLO,60
UTILITIES,FIAT DUCATO,-
UTILITIES,FORD TRANSIT CONNECT,-
UTILITIES,FORD TRANSIT COURIER,-
UTILITIES,"FORD TRANSIT, TOURNEO",-
