ID,Betreiber,Straße,Hausnummer,Adresszusatz,Postleitzahl,Ort,Bundesland,Kreis/kreisfreie Stadt,Breitengrad,Längengrad,Inbetriebnahmedatum,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Public Key1,Steckertypen2,P2 [kW],Public Key2,Steckertypen3,P3 [kW],Public Key3,Steckertypen4,P4 [kW],Public Key4,ID
61,EWE Go GmbH,Süderdamm,4,,25746,Heide,Schleswig-Holstein,Kreis Dithmarschen,54.19853717,9.126191213,2022-02-01,125,Schnellladeeinrichtung,2,DC Kupplung Combo,125,,DC Kupplung Combo,125,,,,,,,,61
62,HanseWerk Charging Station,Nordseestraße,55,bei 55,25761,Büsum,Schleswig-Holstein,Kreis Dithmarschen,54.13294,8.84331,2022-02-01,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,62
63,HanseWerk Charging Station,Neuenkoog,1,bei1,25761,Büsum,Schleswig-Holstein,Kreis Dithmarschen,54.141433,8.843466,2022-02-01,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,63
64,E.ON Drive GmbH,Neuenkoog,1,,25761,Büsum,Schleswig-Holstein,Kreis Dithmarschen,54.14137,8.84373,2018-03-06,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,64
65,E.ON Drive GmbH,Nordseestr.,0,,25761,Büsum,Schleswig-Holstein,Kreis Dithmarschen,54.133918,8.845005,2018-03-21,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,65
66,E.ON Drive GmbH,Hohenzollerstraße,15,,25761,Büsum,Schleswig-Holstein,Kreis Dithmarschen,54.129217,8.855977,2018-04-04,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,66
67,HanseWerk Charging Station,Hohenzollerstraße,15,bei 15,25761,Büsum,Schleswig-Holstein,Kreis Dithmarschen,54.129077,8.856024,2022-01-23,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,67
68,E.ON Drive GmbH,Westerstraße,30,,25761,Büsum,Schleswig-Holstein,Kreis Dithmarschen,54.131845,8.85609,2020-08-31,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,,,,,,68
69,E.ON Drive GmbH,Westerstraße,30,,25761,Büsum,Schleswig-Holstein,Kreis Dithmarschen,54.131897,8.856138,2020-08-31,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,,,,,,69
70,Hotel Dorfkrug Büsum GmbH & Co. KG,Alte Dorfstraße,13,,25761,Büsum,Schleswig-Holstein,Kreis Dithmarschen,54.132206,8.859006,2021-05-01,120,Schnellladeeinrichtung,2,DC Kupplung Combo,120,,DC Kupplung Combo,120,,,,,,,,70
71,Hotel Dorfkrug Büsum GmbH & Co. KG,Alte Dorfstraße,4,,25761,Büsum,Schleswig-Holstein,Kreis Dithmarschen,54.131663,8.859033,2020-06-03,50,Schnellladeeinrichtung,1,"AC Kupplung Typ 2, DC Kupplung Combo, DC CHAdeMO",50,,,,,,,,,,,71
72,E.ON Drive GmbH,Fischereihafen,1,,25761,Büsum,Schleswig-Holstein,Kreis Dithmarschen,54.12947,8.86708,2018-04-05,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,72
73,HanseWerk Charging Station,Am Fischereihafen,1,bei 1,25761,Büsum,Schleswig-Holstein,Kreis Dithmarschen,54.129687,8.867516,2022-02-01,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,73
74,HanseWerk Charging Station,Heider Straße,4,bei 4,25761,Büsum,Schleswig-Holstein,Kreis Dithmarschen,54.13852,8.87303,2022-02-01,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,74
75,E.ON Drive GmbH,Heider Straße,4,,25761,Büsum,Schleswig-Holstein,Kreis Dithmarschen,54.1387,8.87345,2018-04-11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,75
76,EnBW mobility+ AG und Co.KG,Hafentörn,2,,25761,Büsum,Schleswig-Holstein,Kreis Dithmarschen,54.137559,8.874535,2020-12-30,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150,,DC Kupplung Combo,150,,,,,,,,76
