ID,Betreiber,Straße,Hausnummer,Adresszusatz,Postleitzahl,Ort,Bundesland,Kreis/kreisfreie Stadt,Breitengrad,Längengrad,Inbetriebnahmedatum,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Public Key1,Steckertypen2,P2 [kW],Public Key2,Steckertypen3,P3 [kW],Public Key3,Steckertypen4,P4 [kW],Public Key4,ID
966,GP JOULE Connect GmbH,Marie-Curie-Str.,1,,24837,Schleswig,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.54218019,9.581189166,2022-11-01,300,Schnellladeeinrichtung,2,DC Kupplung Combo,300,3056 3010 0607 2A86 48CE 3D02 0106 052B 8104 000A 0342 0004 3EBC FF16 F480 41DD F448 12DE D8B4 7668 6664 4124 B520 5712 FD67 671F 2D6D 96CD 503C DCDB FCD1 31E7 EC5E B95E E0EB C64B 7CB2 C9E2 EF2B 2EF7 D409 57BE 67C0 6D28,DC Kupplung Combo,300,3056 3010 0607 2A86 48CE 3D02 0106 052B 8104 000A 0342 0004 1C2E 3A74 10DB B826 445A 033C 7311 723B 9292 2F43 302E F770 6817 4CD3 A2B7 D34D A49F 72A2 D546 40CE 2E00 94E3 C209 4F3D B200 1E62 6D65 AFEC C31A C440 5A0A 36DD,,,,,,,966
967,GP JOULE Connect GmbH,Ilensee,8,,24837,Schleswig,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.516934,9.583036,2020-01-27,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,3 0593 0130 6072 A864 8CE3 D020 1060 82A8 648C E3D0 3010 7034 2000 4BA7 302C 3815 091E FD86 2322 79AC 34BA 92EC 5233 8D82 F828 BCDB 8A1F 10C2 CE43 82AA 2F1F CC29 51E9 EB4D 892C 5F7B E589 79C1 AB62 975B E90B 92C4 0BC2 99CF 9E08 8,AC Steckdose Typ 2,22,3 0593 0130 6072 A864 8CE3 D020 1060 82A8 648C E3D0 3010 7034 2000 40F3 75E5 BBA8 A1D1 4638 0EEC BEF6 72D6 B89C 5AB9 BC85 0055 ADA5 AEA7 BC03 3EEE 7DFE A475 B5F2 66C5 AABF 6D77 876B B993 314B 1C01 173E A3AD 5845 68F9 1FEC 7E8E D,,,,,,,967
968,Schleswiger Stadtwerke GmbH,Werkstraße,1,,24837,Schleswig,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.51757,9.58457,2020-03-03,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,968
969,Elektro Jessen,Heinrich-Hertz-Straße,18,,24837,Schleswig,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.537282,9.584805,2022-09-19,50,Schnellladeeinrichtung,4,DC Kupplung Combo,50,,DC Kupplung Combo,50,,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,969
970,GP JOULE Connect GmbH,Theodor-Storm-Allee,2,,24848,Kropp,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.410908,9.508384,2018-11-17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,970
971,Autohaus Thomsen GmbH,Werkstraße,2,,24848,Kropp,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.413018,9.528696,2021-02-21,39.6,Normalladeeinrichtung,2,DC Kupplung Combo,22,,AC Steckdose Typ 2,11,,,,,,,,971
972,Aral Pulse,Westring,19,,24850,Schuby,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.51896736,9.464544654,2021-03-17,300,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",300,,DC Kupplung Combo,300,,,,,,,,972
973,Aral Pulse,Westring,19,,24850,Schuby,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.51896736,9.464544654,2021-03-17,300,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",300,,DC Kupplung Combo,300,,,,,,,,973
974,E.ON Drive GmbH,Husumer Straße,5,,24850,Schuby,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.519063,9.476458,2018-08-08,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,974
975,HanseWerk Charging Station,Husumer Straße,5,,24850,Schuby,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.519334,9.476691,2022-03-18,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,975
976,Gemeinde Eggebek,Hauptstraße,60,,24852,Eggebek,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.618992,9.367782,2020-12-21,30,Normalladeeinrichtung,2,AC Steckdose Typ 2,15,,AC Steckdose Typ 2,15,,,,,,,,976
977,Privatperson,Hauptstr.,5a,,24852,Eggebek,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.6201157,9.379005,2021-11-24,11,Normalladeeinrichtung,1,AC Kupplung Typ 2,11,,,,,,,,,,,977
978,Eider-Treene-Sorge GmbH,Haupstr.,2,,24852,Eggebek,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.61964,9.379869,2016-05-27,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,978
979,Gemeinde Jübek c/o Amt Arensharde,Bahnhofstr.,0,,24855,Jübek,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.558686,9.405244,2020-03-20,50,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,9.50025E+14,AC Steckdose Typ 2,22,8.50062E+14,,,,,,,979
980,GP JOULE Connect GmbH,Tweebarg,34,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.487456,9.543281,2020-07-29,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,4 0593 0130 6072 A864 8CE3 D020 1060 82A8 648C E3D0 3010 7034 2000 4D25 88F1 21C7 802F 8F33 F165 097A C773 E1E2 8897 BEE0 E893 2BA2 63AF 1697 384C 13B8 580C FD71 2EAD 5459 0DD0 89F4 5072 CE01 926A 2CED BA4A D946 8EAF D678 B0A5 F,AC Steckdose Typ 2,22,4 0593 0130 6072 A864 8CE3 D020 1060 82A8 648C E3D0 3010 7034 2000 43DE FA53 C2EC 897E 81CF EA95 CCAC E91C EBBD B697 0D01 E18D F039 2012 8A63 9861 0282 1EDE B517 8F26 C8A7 4F94 65FC CF04 D4CB 1751 966F 4720 F0D0 940F 5425 CC0B A,,,,,,,980
981,Allego GmbH,Wittgenstein,2,,24866,Schleswig-Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.476667,9.544566,2021-09-30,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150,3056301006072A8648CE3D020106052B8104000A034200042071894A503EBAECAB6D754A3A7E3D8CC04FD3687735278C4EEB3F4994169B6934762AC145CBE805811880FB6FA66D6DB6739B88FD7DBE58D431EB2B4B194C85,DC Kupplung Combo,150,3056301006072A8648CE3D020106052B8104000A03420004E442F23F14912EEF834A9B685701D4F959A6436380AF5E18E74CA92DADE4DA740A09D68D3CEEF2D918FF3B833A4841FBA23F8074883165123964A1D446386650,,,,,,,981
982,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,150,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,,,,,,982
983,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,150,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,,,,,,983
984,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,150,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,,,,,,984
985,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,150,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,,,,,,985
986,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,150,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,,,,,,986
987,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,150,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,,,,,,987
988,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,150,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,,,,,,988
989,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,150,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,,,,,,989
990,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,150,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,,,,,,990
991,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,150,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,,,,,,991
992,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,150,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,,,,,,992
993,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,150,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,,,,,,993
994,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,150,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,,,,,,994
995,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,150,Schnellladeeinrichtung,1,DC Kupplung Combo,150,,,,,,,,,,,995
996,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,250,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,,,,,,996
997,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,250,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,,,,,,997
998,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,250,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,,,,,,998
999,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,250,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,,,,,,999
1000,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,250,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,,,,,,1000
1001,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,250,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,,,,,,1001
1002,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,250,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,,,,,,1002
1003,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,250,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,,,,,,1003
1004,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,250,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,,,,,,1004
1005,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,250,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,,,,,,1005
1006,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,250,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,,,,,,1006
1007,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,250,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,,,,,,1007
1008,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,250,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,,,,,,1008
1009,Tesla Germany GmbH,Wittgenstein,9,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.477799,9.544758,2022-06-16,250,Schnellladeeinrichtung,1,DC Kupplung Combo,250,,,,,,,,,,,1009
1010,Schleswiger Stadtwerke GmbH,Rendbsurger Straße,54c,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.490385,9.551035,2020-08-20,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,1010
1011,GP JOULE Connect GmbH,Schulstrasse,1,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.49257,9.553339,2020-07-29,150,Schnellladeeinrichtung,1,"AC Steckdose Typ 2, DC Kupplung Combo, DC CHAdeMO",150,,,,,,,,,,,1011
1012,GP JOULE Connect GmbH,Schulstraße,1,,24866,Busdorf,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.492415,9.553446,2020-07-31,150,Schnellladeeinrichtung,2,DC Kupplung Combo,75,,"DC Kupplung Combo, DC CHAdeMO",75,,,,,,,,1012
1013,Gemeinde Tarp,Sieverstedter Straße,3-5,,24885,Sieverstedt,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.642122,9.471456,2020-10-21,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,1013
1014,Eider-Treene-Sorge GmbH,Hauptstr.,41,,24887,Silberstedt,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.51813,9.3691,2016-06-10,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,,,,,,1014
1015,Gemeinde Silberstedt,Hauptstr.,41,,24887,Silberstedt,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.518365,9.36959,2019-10-01,55,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,9.00139E+14,"AC Steckdose Typ 2, AC Schuko",22,8.5006E+14,,,,,,,1015
1016,Gemeinde Silberstedt,An´t Doktorhuss,0,,24887,Silberstedt,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.515812,9.375924,2019-10-01,78,Normalladeeinrichtung,4,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,1016
1017,Zum goldenen Stern - Gaststätte,Hauptstr.,6,,24890,Stolk,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.598194,9.541237,2022-12-31,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,1017
1018,E.ON Drive GmbH,Hauptstr.,42,,24893,Taarstedt,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.579445,9.68934,2019-11-11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,1018
1019,Gemeinde Treia c/o Amt Arensharde,Treenestraße,0,,24896,Treia,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.51458,9.3202,2019-08-20,50,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,1019
1020,Stadtwerke Husum GmbH,Tastruper Weg,50,,24943,Tastrup,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.765799,9.47798,2019-01-29,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,1020
1021,Pattburg Poetzsch GmbH & Co. KG,Industrieweg,40,,24955,Harrislee,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.794278,9.373,2017-04-05,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,1021
1022,GP JOULE Connect GmbH,Süderstraße,81,,24955,Harrislee,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.800189,9.397607,2021-06-04,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,20,,AC Steckdose Typ 2,20,,,,,,,,1022
1023,GP JOULE Connect GmbH,Kirstenstr.,6,,24960,Gluecksburg,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.84195561,9.532858814,2021-08-19,22,Normalladeeinrichtung,3,AC Steckdose Typ 2,22,3059 3013 0607 2A86 48CE 3D02 0106 082A 8648 CE3D 0301 0703 4200 04A7 BD2D BDB1 8B9A 644D 2030 7BE2 B532 3ABD F8D0 5032 4868 E80A 87DA CF85 7976 E195 1E54 F4CB 915F 4CCC 3F71 EE5D DF30 E50E 3120 39A0 1159 E614 E178 B06E E710 23,AC Steckdose Typ 2,22,3059 3013 0607 2A86 48CE 3D02 0106 082A 8648 CE3D 0301 0703 4200 0446 410A FF0C 3042 BDF4 2BE5 CB8B 321F 2781 69F2 14F6 93EA 993C AACA E2E1 7378 27C9 6F5E 9FD1 08D7 F569 17CC 47F6 FEBE E48F C620 8D4C 90A6 9BBC 9DBE 1EE5 AF1B 08,AC Steckdose Typ 2,22,3059 3013 0607 2A86 48CE 3D02 0106 082A 8648 CE3D 0301 0703 4200 04FA 1198 16DE CECC 0D90 D52F 2A91 7A34 E563 8359 836E 3729 E630 68D8 2FFD D0EF F4FA A98D 0047 B93E 3547 ED7E 0E2D B706 3D54 2B7D 6487 DB71 2061 05B7 BBF4 79C3 19,,,,1023
1024,Eider-Treene-Sorge GmbH,Stapelholmer Weg,0,,24963,Tarp,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.6572,9.39424,2016-07-01,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,1024
1025,Hans Carstens GmbH,Wanderuper Str.,14,,24963,Tarp,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.667164,9.394974,2021-03-04,39.6,Normalladeeinrichtung,2,DC Kupplung Combo,22,,AC Steckdose Typ 2,11,,,,,,,,1025
1026,E.ON Drive GmbH,Friedrich-Fröbel-Str.,11,,24963,Tarp,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.66189685,9.395377137,2021-12-07,11,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,,,,,1026
1027,E.ON Drive GmbH,Friedrich-Fröbel-Str.,11,,24963,Tarp,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.66189114,9.395434109,2021-12-07,11,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,,,,,1027
1028,GP JOULE Connect GmbH,Stapelholmer Weg,13a,,24963,Tarp,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.662222,9.398984,2018-11-19,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,1028
1029,E.ON Drive GmbH,Bahnhofstraße,1,,24963,Tarp,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.66375,9.40003,2019-01-01,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,1029
1030,E.ON Drive GmbH,Schleswiger Straße,1,,24966,Sörup,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.716507,9.669377,2019-08-08,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,1030
1031,e-Mobilität Linnau/Lindewitt e.V.,Am Spielplatz,4,,24969,Lindewitt,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.703644,9.17431,2018-12-01,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,1031
1032,"Gemeinde Großenwiehe über Amt Schafflund, Gebietskörperschaft",Alter Bahndamm,1,,24969,Großenwiehe,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.69555995,9.246618528,2020-12-15,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,3059301306072a8648ce3d020106082a8648ce3d030107034200044796adafcc12b2740f0f2a7de0850c83d15077e76d40a436193d0522a54578deaa492ed665c84cbd2706148513408d1303c2ddab6b6693ebf0915e0286972342,,,,,,,1032
1033,"Gemeinde Großenwiehe über Amt Schafflund, Gebietskörperschaft",Hauptsraße,7,,24969,Großenwiehe,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.70459627,9.248185627,2020-12-15,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,1033
1034,EDEKA Handelsgesellschaft Nord mbH,Meiereistraße,10,,24972,Steinbergkirche,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.756551,9.756354,2019-06-27,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,1034
1035,Stadtwerke Husum GmbH,Glücksburger Straße,1a,,24975,Husby,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.765917,9.575831,2019-01-31,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,1035
1036,Stadtwerke Husum GmbH,Flensburger Str.,36,,24975,Husby,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.76551,9.577511,2019-01-31,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,1036
1037,Gemeinde Handewitt,Schulstraße,20,,24976,Handewitt,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.7426326,9.3897534,2021-12-02,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,1037
1038,Gemeinde Handewitt,Zum Sportplatz,9,,24976,Handewitt,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.7410847,9.4347727,2021-12-02,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,1038
1039,GP JOULE Connect GmbH,Strandweg,0,,24977,Langballig,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.82165053,9.655174613,2021-08-25,22,Normalladeeinrichtung,4,AC Steckdose Typ 2,22,3059 3013 0607 2A86 48CE 3D02 0106 082A 8648 CE3D 0301 0703 4200 04D4 125F 8847 8AB4 5CFF 8EDB 4A88 371D 5518 FA2C 76D5 4E9A B078 49FF F1E6 7A9B 2D74 AE89 D5FD 7C7B 2F95 41B5 53D8 A2CA 2248 D193 8008 DAE4 F05C E208 E79B D369 73,AC Steckdose Typ 2,22,3059 3013 0607 2A86 48CE 3D02 0106 082A 8648 CE3D 0301 0703 4200 04AC 4600 3F20 974C D710 19FB DB9B 69C2 A77E 7A2B C01E F8A4 D078 07A3 48FB F457 832B 599E 171F 4767 03F7 4471 43D3 98EA 1439 B02A D75D 8238 CAF5 942C F724 EA36 DF,AC Steckdose Typ 2,22,3059 3013 0607 2A86 48CE 3D02 0106 082A 8648 CE3D 0301 0703 4200 0455 7136 C427 AEFA BA76 84E5 34BA 4AD9 DA77 7587 5920 E31C F531 474C 15B3 A871 FEEC DAC8 8C7D C5AA 580F FA33 BEB6 F800 491C A4DA 391C D01A FDAA 7A25 2F97 8B7D 5E,AC Steckdose Typ 2,22,3059 3013 0607 2A86 48CE 3D02 0106 082A 8648 CE3D 0301 0703 4200 04E9 DAFC FA0F 44DE D86E 2D9A C540 D400 BBAC F35A C80A ECCA 5FC2 C20E 5B73 5DEA 52CC 97F1 7E59 2E61 2719 2063 3380 404D C150 BC73 80AC 1A6F 1655 1EFB D5CB F232 A5,1039
1040,James Farm,Nordhackstedter Str.,2a,,24980,Hörup,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.73989972,9.104268651,2022-02-06,180,Schnellladeeinrichtung,3,DC Kupplung Combo,150,,DC Kupplung Combo,150,,AC Steckdose Typ 2,22,,,,,1040
1041,ecar Northtec,Nylanndamm,4,,24980,Schafflund,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.76383,9.17523,2023-03-17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,apim 53zi hkbh 73v5 2xsw qv3b qwce yv2u e4ud mlc5,AC Steckdose Typ 2,22,ak34 vhaf dfqa whbh lemj frnj mlvn k6mo 4jk7 olum,,,,,,,1041
1042,"Gemeinde Schafflund über Amt Schafflund, Gebietskörperschaft",Tannenweg,1,,24980,Schafflund,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.75803322,9.18844541,2021-07-28,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,1042
1043,Lidl,Osterfeld,2,,24980,Schafflund,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.7614725,9.1921647,2020-12-02,93,Schnellladeeinrichtung,3,"AC Steckdose Typ 2, AC Kupplung Typ 2",50,,"AC Kupplung Typ 2, DC Kupplung Combo",50,,"AC Kupplung Typ 2, DC CHAdeMO",44,,,,,1043
1044,Privatperson,Sommers Barg,38,,24980,Wallsbüll,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.78028023,9.233736343,2022-01-01,11,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC Schuko",11,,AC Steckdose Typ 2,11,,,,,,,,1044
1045,ecar Northtec,Ellunder Str.,1,,24980,Wallsbüll,Schleswig-Holstein,Kreis Schleswig-Flensburg,54.777343,9.235793,2023-02-06,33,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AM4G K2QR V3Yd VWEP ACb6 65K5 PJdW LETN TVER 6Y6L,AC Steckdose Typ 2,22,AoQN dWbi RSXM VC2M 256Z H7Q7 HXbJ F2oA 2RdX 5V4J,,,,,,,1045
